codigo_estudiante,tipo_examen,carrera_asignada,puntaje_matematica,puntaje_ciencias,puntaje_humanidades,puntaje_aptitud,puntaje_ciencias_carrera,puntaje_humanidades_carrera,puntaje_ingenieria_carrera,carrera_recomendada,puntaje_total
028061,H,B,22.5,22.5,60.0,70.0,180.0,175.0,180.0,Ciencias,180.0
028059,G,B,2.5,12.5,60.0,10.0,70.0,85.0,50.0,Humanidades,85.0
028058,H,B,13.0,17.5,30.0,26.0,101.5,86.5,92.5,Ciencias,101.5
028057,G,B,15.5,8.0,42.0,13.0,66.5,78.5,81.5,Ingeniería,81.5
028056,L,B,0.0,0.0,30.0,17.0,27.0,47.0,27.0,Humanidades,47.0
028055,F,B,10.0,10.0,31.5,6.0,56.5,57.5,56.5,Humanidades,57.5
028054,K,B,7.5,0.0,21.0,33.0,47.5,61.5,62.5,Ingeniería,62.5
028053,J,B,20.0,5.0,1.5,0.0,35.5,26.5,65.5,Ingeniería,65.5
028052,I,B,10.0,19.5,22.5,37.0,113.0,89.0,94.0,Ciencias,113.0
028046,J,B,12.5,10.0,0.0,11.0,53.5,33.5,58.5,Ingeniería,58.5
028047,K,B,9.0,10.5,19.5,39.0,86.0,78.0,83.0,Ciencias,86.0
028048,L,B,17.5,12.5,82.5,87.0,169.5,199.5,179.5,Humanidades,199.5
028049,F,B,5.0,0.0,15.0,5.0,15.0,25.0,25.0,Humanidades,25.0
028050,G,B,0.0,8.5,30.0,11.0,46.5,49.5,29.5,Humanidades,49.5
028051,H,B,0.0,2.5,0.0,31.0,38.5,33.5,33.5,Ciencias,38.5
028033,K,B,10.0,0.5,37.5,30.0,54.0,78.0,73.0,Humanidades,78.0
028034,J,B,12.5,0.0,22.5,2.0,22.0,37.0,47.0,Ingeniería,47.0
028035,L,B,0.0,2.5,22.5,30.0,45.0,55.0,40.0,Humanidades,55.0
028036,F,B,8.0,15.0,0.0,5.0,58.0,28.0,44.0,Ciencias,58.0
028037,H,B,0.0,13.5,9.0,20.0,63.5,42.5,36.5,Ciencias,63.5
028038,G,B,15.0,7.5,52.5,25.0,80.0,100.0,95.0,Humanidades,100.0
028039,G,B,0.5,2.5,40.5,9.0,30.5,52.5,26.5,Humanidades,52.5
028040,H,B,0.0,12.5,15.0,51.0,93.5,78.5,68.5,Ciencias,93.5
028041,I,B,5.0,17.5,15.0,13.0,75.5,50.5,50.5,Ciencias,75.5
028042,J,B,7.5,2.5,30.0,5.0,30.0,45.0,40.0,Humanidades,45.0
028043,L,B,10.0,15.5,45.0,42.0,113.5,112.5,102.5,Ciencias,113.5
028044,K,B,15.5,5.5,49.5,45.0,93.5,115.5,113.5,Humanidades,115.5
028032,F,B,16.5,13.5,39.0,21.0,91.0,90.0,97.0,Ingeniería,97.0
028027,H,B,0.0,7.5,0.0,25.0,47.5,32.5,32.5,Ciencias,47.5
028028,I,B,20.0,22.5,15.0,70.0,162.5,127.5,157.5,Ciencias,162.5
028029,J,B,0.0,0.5,1.5,9.0,11.0,11.0,10.0,Ciencias,11.0
028030,K,B,18.0,15.0,69.0,51.0,137.0,153.0,143.0,Humanidades,153.0
028031,L,B,12.5,7.5,30.0,37.0,82.0,87.0,92.0,Ingeniería,92.0
028021,I,B,5.0,6.0,7.5,29.0,54.5,47.5,52.5,Ciencias,54.5
028022,J,B,7.5,7.5,0.0,0.0,30.0,15.0,30.0,Ciencias,30.0
028023,K,B,10.0,10.0,55.5,28.0,86.5,103.5,86.5,Humanidades,103.5
028024,G,B,10.5,8.0,46.5,26.0,76.0,91.0,81.0,Humanidades,91.0
028025,L,B,0.0,8.0,13.5,26.0,54.5,47.5,38.5,Ciencias,54.5
028026,F,B,12.5,17.5,7.5,20.0,87.5,57.5,77.5,Ciencias,87.5
028009,L,B,0.0,5.0,15.0,11.0,31.0,31.0,21.0,Ciencias,31.0
028010,F,B,9.5,2.5,24.0,0.0,25.0,36.0,39.0,Ingeniería,39.0
028011,G,B,3.0,0.0,33.0,2.0,16.0,38.0,22.0,Humanidades,38.0
028012,H,B,5.0,10.5,7.5,25.0,64.0,48.0,53.0,Ciencias,64.0
028013,I,B,7.5,14.0,24.0,25.0,82.5,70.5,69.5,Ciencias,82.5
028014,J,B,10.0,10.5,7.5,10.0,54.0,38.0,53.0,Ciencias,54.0
028015,K,B,0.0,0.0,15.0,0.0,5.0,15.0,5.0,Humanidades,15.0
028016,L,B,0.0,7.5,15.0,5.0,32.5,27.5,17.5,Ciencias,32.5
028017,I,B,10.0,20.0,52.5,45.0,132.5,127.5,112.5,Ciencias,132.5
028018,F,B,0.0,3.0,0.0,15.0,24.0,18.0,18.0,Ciencias,24.0
028019,G,B,17.0,10.0,63.0,77.0,145.0,167.0,159.0,Humanidades,167.0
028020,H,B,0.0,11.0,0.0,13.0,46.0,24.0,24.0,Ciencias,46.0
027979,K,B,5.0,0.0,22.5,0.0,12.5,27.5,22.5,Humanidades,27.5
027978,J,B,11.5,8.5,9.0,29.0,69.0,58.0,75.0,Ingeniería,75.0
027977,I,B,10.0,15.0,15.0,45.0,105.0,85.0,95.0,Ciencias,105.0
027976,H,B,12.5,15.0,22.5,85.0,150.0,135.0,145.0,Ciencias,150.0
027975,G,B,0.0,2.5,7.5,5.0,15.0,15.0,10.0,Ciencias,15.0
027974,F,B,12.5,15.5,22.5,72.0,138.5,122.5,132.5,Ciencias,138.5
027980,L,B,13.0,1.0,24.0,46.0,70.0,84.0,94.0,Ingeniería,94.0
027982,G,B,12.5,12.5,60.0,36.0,106.0,121.0,106.0,Humanidades,121.0
027984,I,B,2.5,10.0,45.0,31.0,78.5,88.5,63.5,Humanidades,88.5
027985,J,B,5.0,0.0,0.0,0.0,5.0,5.0,15.0,Ingeniería,15.0
027983,H,B,2.5,13.0,15.0,14.0,60.5,44.5,39.5,Ciencias,60.5
027981,F,B,10.0,20.0,34.5,60.0,141.5,124.5,121.5,Ciencias,141.5
027986,K,B,2.0,3.5,15.0,19.0,36.5,39.5,33.5,Humanidades,39.5
027987,L,B,0.0,7.5,22.5,20.0,50.0,50.0,35.0,Ciencias,50.0
027988,F,B,5.0,12.5,15.0,20.0,67.5,52.5,52.5,Ciencias,67.5
027991,I,B,2.5,2.5,37.5,0.0,22.5,42.5,22.5,Humanidades,42.5
027990,H,B,5.5,23.0,39.0,51.0,138.5,118.5,103.5,Ciencias,138.5
027989,G,B,12.5,20.5,45.0,22.0,111.0,100.0,95.0,Ciencias,111.0
027992,J,B,16.5,6.5,0.0,25.0,61.0,48.0,81.0,Ingeniería,81.0
027995,F,B,7.5,7.5,52.5,23.0,70.5,90.5,70.5,Humanidades,90.5
027993,K,B,2.5,5.0,52.5,16.0,51.0,76.0,46.0,Humanidades,76.0
027996,G,B,24.0,22.0,105.0,71.0,196.0,222.0,200.0,Humanidades,222.0
027997,H,B,5.0,0.0,1.5,0.0,5.5,6.5,15.5,Ingeniería,15.5
027994,L,B,7.0,7.0,16.5,18.0,51.5,48.5,51.5,Ciencias,51.5
027998,I,B,5.0,17.5,22.5,30.0,95.0,75.0,70.0,Ciencias,95.0
028000,K,B,7.5,2.5,22.5,45.0,67.5,77.5,77.5,Humanidades,77.5
028001,L,B,6.0,9.0,24.0,52.0,93.0,91.0,87.0,Ciencias,93.0
028003,G,B,12.5,17.5,60.0,52.0,137.0,142.0,127.0,Humanidades,142.0
028002,F,B,17.5,5.0,30.0,67.0,109.5,119.5,134.5,Ingeniería,134.5
027999,J,B,14.5,10.0,39.0,31.0,88.5,94.5,97.5,Ingeniería,97.5
028004,H,B,18.0,13.0,34.5,0.0,68.5,65.5,78.5,Ingeniería,78.5
028005,I,B,2.5,7.5,37.5,20.0,57.5,67.5,47.5,Humanidades,67.5
028006,J,B,20.5,5.5,25.5,44.0,89.5,95.5,119.5,Ingeniería,119.5
028007,K,B,5.5,2.5,22.5,16.0,36.5,46.5,42.5,Humanidades,46.5
027973,F,B,7.5,5.0,7.5,6.0,31.0,26.0,36.0,Ingeniería,36.0
028008,L,B,0.0,7.5,7.5,0.0,25.0,15.0,10.0,Ciencias,25.0
027960,H,B,2.5,13.0,40.5,8.0,63.0,64.0,42.0,Humanidades,64.0
027965,G,B,5.0,0.0,30.0,21.0,36.0,56.0,46.0,Humanidades,56.0
027961,F,B,2.5,0.0,15.0,10.0,17.5,27.5,22.5,Humanidades,27.5
027963,L,B,0.0,5.0,15.0,30.0,50.0,50.0,40.0,Ciencias,50.0
027966,K,B,0.0,5.0,31.5,30.0,55.5,66.5,45.5,Humanidades,66.5
027942,J,B,17.5,12.5,30.0,40.0,105.0,100.0,115.0,Ingeniería,115.0
027962,I,B,7.5,0.0,7.5,5.0,15.0,20.0,30.0,Ingeniería,30.0
027955,H,B,20.0,17.0,21.0,50.0,128.0,108.0,134.0,Ingeniería,134.0
027937,G,B,5.0,15.0,30.0,20.0,80.0,70.0,60.0,Ciencias,80.0
027970,F,B,20.0,12.5,52.5,70.0,145.0,155.0,160.0,Ingeniería,160.0
027956,L,B,5.0,2.5,27.0,51.0,72.5,85.5,77.5,Humanidades,85.5
027957,K,B,0.0,5.0,15.0,5.0,25.0,25.0,15.0,Ciencias,25.0
027958,J,B,13.0,12.0,39.0,28.0,90.0,92.0,92.0,Humanidades,92.0
027959,I,B,12.5,7.5,6.0,25.0,62.0,51.0,72.0,Ingeniería,72.0
027971,H,B,0.0,7.5,22.5,26.0,56.0,56.0,41.0,Ciencias,56.0
027953,G,B,6.5,7.5,46.5,39.0,83.5,99.5,81.5,Humanidades,99.5
027952,F,B,5.5,2.0,33.0,37.0,59.5,77.5,66.5,Humanidades,77.5
