codigo_estudiante,tipo_examen,carrera_asignada,puntaje_matematica,puntaje_ciencias,puntaje_humanidades,puntaje_aptitud,puntaje_ciencias_carrera,puntaje_humanidades_carrera,puntaje_ingenieria_carrera,carrera_recomendada,puntaje_total
027861,H,B,2.5,0.0,0.0,0.0,2.5,2.5,7.5,Ingeniería,7.5
027862,K,B,5.5,0.0,7.5,10.0,18.0,23.0,29.0,Ingeniería,29.0
027863,H,B,0.0,18.0,16.5,27.0,86.5,61.5,50.5,Ciencias,86.5
027864,L,B,2.5,5.0,15.0,0.0,22.5,22.5,17.5,Ciencias,22.5
027810,L,B,0.0,0.0,15.0,15.0,20.0,30.0,20.0,Humanidades,30.0
027809,F,B,12.5,15.0,30.0,41.0,108.5,98.5,103.5,Ciencias,108.5
027798,G,B,4.0,15.0,46.5,36.0,100.5,101.5,78.5,Humanidades,101.5
027799,F,B,2.5,10.5,1.5,22.0,56.5,36.5,40.5,Ciencias,56.5
027811,G,B,7.5,10.5,75.0,6.0,70.0,99.0,64.0,Humanidades,99.0
027808,J,B,2.0,2.0,0.0,15.0,23.0,19.0,23.0,Ciencias,23.0
027807,L,B,0.0,3.5,24.0,23.0,41.5,50.5,34.5,Humanidades,50.5
027806,G,B,20.0,7.5,52.5,40.0,100.0,120.0,125.0,Ingeniería,125.0
027812,H,B,0.0,15.0,22.5,30.0,82.5,67.5,52.5,Ciencias,82.5
027797,I,B,17.5,15.0,52.5,60.0,140.0,145.0,145.0,Humanidades,145.0
027793,I,B,15.0,22.5,39.0,29.0,124.5,105.5,109.5,Ciencias,124.5
027794,J,B,20.5,25.0,39.0,48.0,156.5,132.5,147.5,Ciencias,156.5
027805,J,B,18.0,20.0,24.0,67.0,153.0,129.0,149.0,Ciencias,153.0
027819,L,B,15.0,2.5,15.0,41.0,68.5,73.5,93.5,Ingeniería,93.5
027818,I,B,17.5,20.0,22.5,50.0,135.0,110.0,130.0,Ciencias,135.0
027795,H,B,0.0,5.0,0.0,30.0,45.0,35.0,35.0,Ciencias,45.0
027820,I,B,5.5,0.5,0.0,30.0,37.0,36.0,47.0,Ingeniería,47.0
027817,J,B,10.0,0.0,22.5,10.0,27.5,42.5,47.5,Ingeniería,47.5
027821,K,B,15.0,12.5,37.5,35.0,100.0,100.0,105.0,Ingeniería,105.0
027816,F,B,15.0,15.0,15.0,61.0,126.0,106.0,126.0,Ciencias,126.0
027815,G,B,15.0,25.0,52.5,26.0,133.5,118.5,113.5,Ciencias,133.5
