codigo_estudiante,puntajes_correctos
027892,90.12820512820512
027891,88.61538461538461
027890,61.79629629629629
027900,189.87704918032787
027899,11.25
027898,113.05000000000001
027897,128.12244897959184
027896,85.0
027845,0.0
027838,83.44827586206897
027837,92.28571428571428
027836,86.66666666666666
027835,20.5
027834,15.416666666666668
027833,45.83333333333333
027832,88.44827586206895
027831,78.47058823529413
027830,111.80555555555557
027829,87.1125
027839,0.0
027840,0.0
027841,34.91379310344828
027842,127.17391304347825
027843,88.06451612903226
027844,94.35
027846,140.34615384615387
027847,37.857142857142854
027848,150.33333333333334
027849,46.551724137931025
027850,134.64285714285714
027851,49.67741935483871
027852,25.96153846153846
027855,104.76190476190476
027853,140.09433962264148
027854,47.5
027856,125.41666666666666
027857,149.0625
027858,102.96511627906978
027859,149.07407407407408
027860,32.730769230769226
027861,0.0
027862,19.25
027863,64.20588235294117
027864,17.916666666666668
027810,24.0
027809,100.05000000000001
027798,102.16216216216216
027799,41.125
027811,90.78947368421052
027808,21.083333333333332
027807,41.19230769230769
027806,118.69565217391305
027812,67.5
027797,144.6153846153846
027793,108.875
027794,136.91489361702128
027805,134.05882352941177
027819,75.54054054054055
027818,116.66666666666666
027795,30.462962962962962
027820,37.33333333333333
027817,41.12068965517241
027821,101.62790697674419
027816,111.06521739130434
027815,121.90625
027822,81.78378378378379
027814,84.03846153846153
027803,65.88235294117646
027804,29.192307692307693
027813,41.66666666666667
027823,59.703703703703695
027824,146.38888888888889
027825,24.96
027826,51.45161290322581
027827,47.599999999999994
027828,88.75
