codigo_estudiante,puntajes_correctos
028164,61.07142857142857
028161,23.759999999999998
028159,74.44444444444446
028157,92.6470588235294
028155,81.23076923076923
028153,41.599999999999994
028188,53.4375
028163,32.0
028162,29.814814814814813
028160,72.22222222222223
028158,26.53846153846154
028156,108.65116279069767
028154,70.875
028175,176.89655172413794
028174,115.27777777777777
028171,34.285714285714285
028169,113.15
028167,13.369565217391305
028165,98.57142857142856
028176,60.375
028173,37.800000000000004
028172,60.92307692307692
028170,74.26
028168,16.25
028166,98.46511627906978
028177,53.4375
028179,65.14285714285714
028181,85.34210526315789
028183,70.06060606060606
028186,67.76
028187,32.21052631578947
028178,106.76470588235296
028180,165.53571428571428
028184,33.440000000000005
028185,54.87096774193549
028182,41.666666666666664
028148,97.72972972972974
028145,78.38888888888889
028147,50.21428571428571
028152,54.13333333333333
028151,76.60714285714286
028146,31.518518518518515
028150,117.76595744680851
028149,77.14285714285714
028144,8.636363636363635
028143,38.480000000000004
028135,41.73214285714286
028142,103.45238095238095
028141,32.56
028140,61.92424242424242
028134,107.72727272727273
028133,108.33333333333331
028132,80.38461538461539
028139,21.840000000000003
028138,14.608695652173912
028131,75.0
028130,67.76470588235294
028137,34.28571428571428
028136,81.71052631578948
028129,70.12068965517241
028128,79.875
028117,125.36956521739131
028118,16.625
028127,56.0
028119,92.97619047619048
028126,66.375
028125,79.34210526315789
028124,1.9500000000000002
028122,38.39285714285714
028123,131.17021276595744
028121,47.5
028120,83.24324324324324
028081,2.763157894736842
028115,38.86206896551724
028114,53.225806451612904
028113,59.09090909090909
028116,75.25
028112,63.75
028111,14.605263157894736
028109,32.407407407407405
028110,63.00000000000001
028108,63.03030303030303
028106,36.54347826086956
028107,116.20000000000002
028105,36.66666666666667
028100,116.1219512195122
028099,10.738095238095237
028101,60.95
028102,62.322580645161295
028103,7.954545454545454
028104,41.896551724137936
028094,135.89999999999998
028095,125.5625
028096,45.9
028097,155.37962962962962
028098,37.857142857142854
028089,59.090909090909086
028090,83.8157894736842
028091,88.61538461538461
028093,25.227272727272727
028092,62.1
028085,13.565217391304348
028088,73.21621621621622
028087,33.47826086956522
